2023-05-05 20:49:35,768 INFO    StreamThr :16828 [internal.py:wandb_internal():86] W&B internal server running at pid: 16828, started at: 2023-05-05 20:49:35.768725
2023-05-05 20:49:35,768 DEBUG   HandlerThread:16828 [handler.py:handle_request():144] handle_request: status
2023-05-05 20:49:35,784 INFO    WriterThread:16828 [datastore.py:open_for_write():85] open: C:\Users\debryu\Desktop\VS_CODE\HOME\Deep_Learning\visual_grounding\visual-grounding\Project\wandb\run-20230505_204935-veev1who\run-veev1who.wandb
2023-05-05 20:49:35,784 DEBUG   SenderThread:16828 [sender.py:send():375] send: header
2023-05-05 20:49:35,862 DEBUG   SenderThread:16828 [sender.py:send():375] send: run
2023-05-05 20:49:36,331 DEBUG   HandlerThread:16828 [handler.py:handle_request():144] handle_request: check_version
2023-05-05 20:49:36,331 INFO    SenderThread:16828 [dir_watcher.py:__init__():219] watching files in: C:\Users\debryu\Desktop\VS_CODE\HOME\Deep_Learning\visual_grounding\visual-grounding\Project\wandb\run-20230505_204935-veev1who\files
2023-05-05 20:49:36,331 INFO    SenderThread:16828 [sender.py:_start_run_threads():1124] run started: veev1who with start time 1683312575.768725
2023-05-05 20:49:36,331 DEBUG   SenderThread:16828 [sender.py:send_request():402] send_request: summary_record
2023-05-05 20:49:36,331 INFO    SenderThread:16828 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-05 20:49:36,331 DEBUG   SenderThread:16828 [sender.py:send_request():402] send_request: check_version
2023-05-05 20:49:36,443 DEBUG   HandlerThread:16828 [handler.py:handle_request():144] handle_request: run_start
2023-05-05 20:49:36,474 DEBUG   HandlerThread:16828 [system_info.py:__init__():31] System info init
2023-05-05 20:49:36,474 DEBUG   HandlerThread:16828 [system_info.py:__init__():46] System info init done
2023-05-05 20:49:36,474 INFO    HandlerThread:16828 [system_monitor.py:start():181] Starting system monitor
2023-05-05 20:49:36,474 INFO    SystemMonitor:16828 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-05 20:49:36,474 INFO    HandlerThread:16828 [system_monitor.py:probe():201] Collecting system info
2023-05-05 20:49:36,474 INFO    SystemMonitor:16828 [interfaces.py:start():190] Started cpu monitoring
2023-05-05 20:49:36,474 INFO    SystemMonitor:16828 [interfaces.py:start():190] Started disk monitoring
2023-05-05 20:49:36,474 INFO    SystemMonitor:16828 [interfaces.py:start():190] Started gpu monitoring
2023-05-05 20:49:36,489 INFO    SystemMonitor:16828 [interfaces.py:start():190] Started memory monitoring
2023-05-05 20:49:36,503 INFO    SystemMonitor:16828 [interfaces.py:start():190] Started network monitoring
2023-05-05 20:49:36,519 DEBUG   HandlerThread:16828 [system_info.py:probe():195] Probing system
2023-05-05 20:49:36,519 DEBUG   HandlerThread:16828 [system_info.py:_probe_git():180] Probing git
